top - 19:19:17 up 35 min,  2 users,  load average: 0,14, 0,74, 0,80
Tareas: 271 total,   1 ejecutar,  269 hibernar,    0 detener,    1 zombie
%Cpu(s):  4,0 us,  4,0 sy,  0,0 ni, 92,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3902,1 total,    152,8 libre,   2359,5 usado,   1773,9 búf/caché    
MiB Intercambio:      0,0 total,      0,0 libre,      0,0 usado.   1542,6 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   1780 dani      20   0  455828   7352   6572 S   0,0   0,2   0:00.01 gsd-rfk+
   1781 dani      20   0  168688   6812   6204 S   0,0   0,2   0:00.00 gsd-scr+
   1783 dani      20   0  466192  11824  10292 S   0,0   0,3   0:00.01 gsd-sha+
   1784 dani      20   0  384352   8888   7856 S   0,0   0,2   0:00.01 gsd-sma+
   1786 dani      20   0  253504   9720   8548 S   0,0   0,2   0:00.00 gsd-sou+
   1797 dani      20   0  465064   7648   6840 S   0,0   0,2   0:00.01 gsd-usb+
   1798 dani      20   0  408792  21732  17724 S   0,0   0,5   0:00.05 gsd-wac+
   1801 dani      20   0  306352   6860   6020 S   0,0   0,2   0:00.00 gsd-dis+
   1815 dani      20   0 1052188  80252  59460 S   0,0   2,0   0:00.18 evoluti+
   1824 dani      20   0  853564 177772  52672 S   0,0   4,4   0:11.43 gnome-s+
   1904 dani      20   0  413420  15588  13524 S   0,0   0,4   0:00.01 gsd-pri+
   1932 dani      20   0 2731444  29724  24456 S   0,0   0,7   0:00.06 gjs
   1951 dani      20   0  517900  25868  21864 S   0,0   0,6   0:00.02 goa-dae+
   1953 dani      20   0  169284   7484   6812 S   0,0   0,2   0:00.00 ibus-me+
   1954 dani      20   0  417812  32072  19060 S   0,0   0,8   0:02.27 ibus-ex+
   1960 dani      20   0  308632   7660   6976 S   0,0   0,2   0:00.01 ibus-po+
   1983 dani      20   0  465228  11976  10380 S   0,0   0,3   0:00.01 gvfs-ud+
   1990 dani      20   0  387792   9668   8544 S   0,0   0,2   0:00.01 goa-ide+
   1998 dani      20   0  893912  26948  23216 S   0,0   0,7   0:00.05 evoluti+
