
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.122.58:50186   96.16.84.9:80          TIME_WAIT       0
  TCP    192.168.122.58:50187   18.172.213.62:443      ESTABLISHED     6856
  TCP    192.168.122.58:50191   4.207.209.100:443      ESTABLISHED     6856
  TCP    192.168.122.58:50192   185.54.150.22:443      TIME_WAIT       0
  TCP    192.168.122.58:50195   23.211.235.49:443      ESTABLISHED     6856
  TCP    192.168.122.58:50200   216.58.214.174:443     ESTABLISHED     6856
  TCP    192.168.122.58:50203   79.116.255.32:443      ESTABLISHED     6856
  TCP    192.168.122.58:50204   18.172.213.48:443      ESTABLISHED     6856
  TCP    192.168.122.58:50205   18.172.213.48:443      ESTABLISHED     6856
  TCP    192.168.122.58:50206   185.93.3.244:443       ESTABLISHED     6856
  TCP    192.168.122.58:50213   2.22.146.166:443       ESTABLISHED     6856
  TCP    192.168.122.58:50214   18.172.226.104:443     TIME_WAIT       0
  TCP    192.168.122.58:50215   18.172.226.104:443     TIME_WAIT       0
  TCP    192.168.122.58:50216   18.172.226.104:443     ESTABLISHED     6856
  TCP    192.168.122.58:50218   18.172.226.104:443     TIME_WAIT       0
  TCP    192.168.122.58:50219   199.232.33.91:443      ESTABLISHED     6856
  TCP    192.168.122.58:50220   18.172.226.102:443     ESTABLISHED     6856
  TCP    192.168.122.58:50221   18.172.226.102:443     TIME_WAIT       0
  TCP    192.168.122.58:50222   185.93.3.244:443       ESTABLISHED     6856
  TCP    192.168.122.58:50223   142.250.184.8:443      ESTABLISHED     6856
  TCP    192.168.122.58:50225   18.172.213.21:443      ESTABLISHED     6856
  TCP    192.168.122.58:50228   34.107.243.93:443      ESTABLISHED     6856
  TCP    192.168.122.58:50229   34.107.243.93:443      ESTABLISHED     6856
  TCP    192.168.122.58:50232   18.172.213.33:443      ESTABLISHED     6856
  TCP    192.168.122.58:50233   18.172.213.33:443      TIME_WAIT       0
  TCP    192.168.122.58:50242   185.93.3.244:443       ESTABLISHED     6856
  TCP    192.168.122.58:50243   185.93.3.244:443       ESTABLISHED     6856
  TCP    192.168.122.58:50245   18.172.213.112:443     ESTABLISHED     6856
  TCP    192.168.122.58:50246   172.217.17.4:443       TIME_WAIT       0
  TCP    192.168.122.58:50247   172.217.17.4:443       TIME_WAIT       0
  TCP    192.168.122.58:50248   18.172.213.68:443      ESTABLISHED     6856
  TCP    192.168.122.58:50252   54.216.163.92:443      ESTABLISHED     6856
  TCP    192.168.122.58:50255   23.46.85.197:443       ESTABLISHED     6856
  TCP    192.168.122.58:50257   151.101.133.44:443     ESTABLISHED     6856
  TCP    192.168.122.58:50260   2.23.237.164:443       ESTABLISHED     6856
  TCP    192.168.122.58:50262   18.172.219.81:443      TIME_WAIT       0
  TCP    192.168.122.58:50263   18.172.219.81:443      ESTABLISHED     6856
  TCP    192.168.122.58:50264   104.17.209.240:443     ESTABLISHED     6856
  TCP    192.168.122.58:50265   104.17.209.240:443     TIME_WAIT       0
  TCP    192.168.122.58:50266   18.172.219.120:443     TIME_WAIT       0
  TCP    192.168.122.58:50267   18.172.219.120:443     ESTABLISHED     6856
  TCP    192.168.122.58:50268   35.71.143.211:443      ESTABLISHED     6856
  TCP    192.168.122.58:50271   172.217.17.2:443       TIME_WAIT       0
  TCP    192.168.122.58:50273   142.250.185.3:443      TIME_WAIT       0
  TCP    192.168.122.58:50274   18.172.219.81:443      ESTABLISHED     6856
  TCP    192.168.122.58:50276   104.17.209.240:443     TIME_WAIT       0
  TCP    192.168.122.58:50277   104.17.209.240:443     TIME_WAIT       0
  TCP    192.168.122.58:50278   35.71.131.137:443      TIME_WAIT       0
  TCP    192.168.122.58:50279   35.71.131.137:443      ESTABLISHED     6856
  TCP    192.168.122.58:50280   185.221.85.3:443       ESTABLISHED     6856
  TCP    192.168.122.58:50281   185.221.85.3:443       TIME_WAIT       0
