PS C:\Users\danib\Desktop\Linux> vol -f .\memoria.lime linux.pstree
Volatility 3 Framework 2.26.2
Progress:  100.00               Stacking attempts finished
OFFSET (V)      PID     TID     PPID    COMM
* 0x8b2dc0388000        25      25      2       idle_inject/1
* 0x8b2dc0394e00        26      26      2       migration/1
* 0x8b2dc0393400        27      27      2       ksoftirqd/1
* 0x8b2dc0391a00        28      28      2       kworker/1:0
* 0x8b2dc0390000        29      29      2       kworker/1:0H
* 0x8b2dc03a9a00        30      30      2       cpuhp/2
* 0x8b2dc03a8000        31      31      2       idle_inject/2
* 0x8b2dc03ace00        32      32      2       migration/2
* 0x8b2dc03ab400        33      33      2       ksoftirqd/2
* 0x8b2dc0899a00        35      35      2       kworker/2:0H
* 0x8b2dc0898000        36      36      2       cpuhp/3
* 0x8b2dc089ce00        37      37      2       idle_inject/3
* 0x8b2dc08a3400        38      38      2       migration/3
* 0x8b2dc08a1a00        39      39      2       ksoftirqd/3
* 0x8b2dc08a4e00        41      41      2       kworker/3:0H
* 0x8b2dc08b9a00        42      42      2       kworker/u17:0
* 0x8b2dc08b8000        43      43      2       kworker/u18:0
* 0x8b2dc08bce00        44      44      2       kworker/u19:0
* 0x8b2dcaa19a00        49      49      2       kdevtmpfs
* 0x8b2dcaa18000        50      50      2       kworker/R-inet_
* 0x8b2dc08fb400        51      51      2       kauditd
* 0x8b2dc08f9a00        52      52      2       khungtaskd
* 0x8b2dc08f8000        53      53      2       oom_reaper
* 0x8b2dc1164e00        56      56      2       kworker/R-write
* 0x8b2dc1163400        57      57      2       kcompactd0
* 0x8b2dc1161a00        58      58      2       ksmd
* 0x8b2dc1181a00        59      59      2       khugepaged
* 0x8b2dc1180000        60      60      2       kworker/R-kinte
* 0x8b2dc1184e00        61      61      2       kworker/R-kbloc
* 0x8b2dc1183400        62      62      2       kworker/R-blkcg
* 0x8b2dc1414e00        63      63      2       irq/9-acpi
* 0x8b2dc1411a00        65      65      2       kworker/R-tpm_d
* 0x8b2dc1410000        66      66      2       kworker/R-edac-
* 0x8b2dc145ce00        67      67      2       kworker/u16:1
* 0x8b2dc145b400        68      68      2       kworker/R-devfr
* 0x8b2dc1459a00        69      69      2       kworker/R-quota
* 0x8b2dc08d0000        72      72      2       kworker/3:1H
* 0x8b2dc08d4e00        73      73      2       kswapd0
* 0x8b2dcab23400        80      80      2       kworker/R-kthro
* 0x8b2dcab2ce00        84      84      2       irq/24-aerdrv
* 0x8b2dcab2b400        85      85      2       irq/25-aerdrv
* 0x8b2dcab29a00        86      86      2       irq/26-aerdrv
* 0x8b2dcab3b400        87      87      2       irq/27-aerdrv
* 0x8b2dcab39a00        88      88      2       irq/28-aerdrv
* 0x8b2dcab38000        89      89      2       irq/29-aerdrv
* 0x8b2dcab3ce00        90      90      2       irq/30-aerdrv
* 0x8b2dcbde9a00        91      91      2       irq/31-aerdrv
* 0x8b2dcbde8000        92      92      2       irq/32-aerdrv
* 0x8b2dcbdece00        93      93      2       irq/33-aerdrv
* 0x8b2dcbdeb400        94      94      2       irq/34-aerdrv
* 0x8b2dcbdfb400        95      95      2       irq/35-aerdrv
* 0x8b2dcbdf9a00        96      96      2       irq/36-aerdrv
* 0x8b2dcbdf8000        97      97      2       irq/37-aerdrv
* 0x8b2dcbdfce00        98      98      2       kworker/R-acpi_
* 0x8b2dcbe04e00        100     100     2       kworker/R-mld
* 0x8b2dcbe03400        101     101     2       kworker/R-ipv6_
* 0x8b2dcbe01a00        102     102     2       kworker/1:1H
* 0x8b2dcbf78000        107     107     2       kworker/R-kstrp
* 0x8b2dcbf81a00        109     109     2       kworker/u21:0
* 0x8b2dcbf80000        110     110     2       kworker/u22:0
* 0x8b2dcbf84e00        111     111     2       kworker/u23:0
* 0x8b2dcbf83400        112     112     2       kworker/u24:0
* 0x8b2dcbf89a00        113     113     2       kworker/u25:0
* 0x8b2dcbf8b400        120     120     2       kworker/u19:2
* 0x8b2dcc8f9a00        166     166     2       kworker/0:1H
* 0x8b2dc14d9a00        173     173     2       kworker/u20:2
* 0x8b2dc15d4e00        184     184     2       kworker/u20:4
* 0x8b2dc15d8000        189     189     2       kworker/u20:5
* 0x8b2dcc8d4e00        235     235     2       kworker/2:1H
* 0x8b2dcab24e00        237     237     2       kworker/2:2
* 0x8b2dcbfa3400        241     241     2       watchdogd
* 0x8b2dcc8d0000        242     242     2       kworker/R-ata_s
* 0x8b2dcc8d1a00        243     243     2       scsi_eh_0
* 0x8b2dcc8fb400        244     244     2       kworker/R-scsi_
* 0x8b2dcc8f8000        245     245     2       scsi_eh_1
* 0x8b2dcc8fce00        246     246     2       kworker/R-scsi_
* 0x8b2dcc8c9a00        247     247     2       scsi_eh_2
* 0x8b2dcc8cb400        248     248     2       kworker/R-scsi_
* 0x8b2dcc8c8000        249     249     2       scsi_eh_3
* 0x8b2dcc8cce00        250     250     2       kworker/R-scsi_
* 0x8b2dc08d3400        251     251     2       scsi_eh_4
* 0x8b2dc08d1a00        252     252     2       kworker/R-scsi_
* 0x8b2dcdccce00        253     253     2       scsi_eh_5
* 0x8b2dcdccb400        254     254     2       kworker/R-scsi_
* 0x8b2dcdce4e00        284     284     2       jbd2/vda2-8
* 0x8b2dcdce3400        285     285     2       kworker/R-ext4-
* 0x8b2dcdce1a00        300     300     2       hwrng
* 0x8b2dcdcd9a00        303     303     2       kworker/3:3
* 0x8b2dcdce0000        318     318     2       kworker/0:2
* 0x8b2dc51e1a00        398     398     2       psimon
* 0x8b2dc3ecb400        503     503     2       kworker/R-crypt
* 0x8b2dc4980000        518     518     2       kworker/u18:4
* 0x8b2dc3ecce00        791     791     2       psimon
* 0x8b2dc66d9a00        792     792     2       kworker/u19:3
* 0x8b2dc3f8b400        830     830     2       kworker/R-cfg80
* 0x8b2dcc8e3400        905     905     2       kworker/R-ib-co
* 0x8b2dc15d3400        906     906     2       kworker/R-ib-co
* 0x8b2dc645ce00        907     907     2       kworker/R-ib_mc
* 0x8b2dc6458000        908     908     2       kworker/R-ib_nl
* 0x8b2dc499b400        921     921     2       kworker/R-iw_cm
* 0x8b2dc5660000        922     922     2       kworker/R-rdma_
* 0x8b2dc2b50000        935     935     2       psimon
* 0x8b2dc3a6b400        1761    1761    2       kworker/u17:3
* 0x8b2dc7a10000        4266    4266    2       scsi_eh_6
* 0x8b2d37f50000        4267    4267    2       kworker/R-scsi_
* 0x8b2d37f53400        4269    4269    2       usb-storage
* 0x8b2d1c65ce00        4272    4272    2       kworker/R-uas
* 0x8b2cd8998000        4417    4417    2       kworker/u17:4
* 0x8b2cdbfb4e00        4445    4445    2       kworker/u18:1
* 0x8b2cd8890000        4513    4513    2       kworker/3:1
* 0x8b2cd8891a00        4519    4519    2       kworker/0:0
* 0x8b2ccd27b400        4530    4530    2       kworker/1:2
* 0x8b2dc5ae9a00        4531    4531    2       kworker/2:1
* 0x8b2e13180000        4546    4546    2       kworker/3:0
* 0x8b2cc27b3400        4575    4575    2       kworker/u20:0
* 0x8b2d37c89a00        4645    4645    2       kworker/u18:2
* 0x8b2cdbe1ce00        4654    4654    2       kworker/0:1
* 0x8b2dc1160000        4666    4666    2       kworker/1:1
